nthread,neighbor_modes,uk-2007-05-edgelist,com-orkut
1,all,4352070046,147486398
1,unweighted,7098682651,203523416
1,queue,373659857,16532450
1,ps,712130971,73992536
2,all,4349892138,184361130
2,unweighted,7094628690,203579520
2,queue,374110476,15188477
2,ps,716470140,73295738
4,all,4454599033,202807835
4,unweighted,7101770465,203803664
4,queue,369599541,15978026
4,ps,713644444,74437536
8,all,4347513475,202807521
8,unweighted,7092768209,203716788
8,queue,365859993,14178460
8,ps,714570159,72801126
16,all,4240776255,202805465
16,unweighted,7089500695,203877956
16,queue,372055763,18792200
16,ps,712024176,78899900
32,all,4457113001,202813567
32,unweighted,7092305948,203602327
32,queue,371299551,15890375
32,ps,717396043,73893239
64,all,4454607082,202808483
64,unweighted,7102103697,203783560
64,queue,366231770,18854954
64,ps,718767138,76715459
