nthread,neighbor_modes,com-orkut.ungraph,uk-2007-05-edgelist
1,raw,0.653522,0.9963159999999999
1,samp,0.690448,0.9963316666666667
1,prune,0.652718,0.9963000000000001
1,ps,0.6728883333333333,0.9962766666666667
1,Leiden,0.632007,0.9521943333333334
2,raw,0.6597939999999999,0.9963139999999999
2,samp,0.690087,0.9963236666666667
2,prune,0.6585873333333333,0.9962983333333334
2,ps,0.6721313333333333,0.9962736666666667
2,Leiden,0.6321013333333333,0.9508230000000001
4,raw,0.6608383333333333,0.9963150000000001
4,samp,0.6921889999999999,0.9963313333333333
4,prune,0.6569853333333334,0.9962966666666665
4,ps,0.6744966666666666,0.9962753333333333
4,Leiden,0.6365013333333334,0.9521506666666667
8,raw,0.6582586666666667,0.9963146666666667
8,samp,0.689063,0.9963193333333332
8,prune,0.6476310000000001,0.9963003333333335
8,ps,0.6773406666666667,0.9962836666666667
8,Leiden,0.6273639999999999,0.9514373333333334
16,raw,0.6716423333333333,0.9963196666666666
16,samp,0.6888456666666668,0.9963143333333333
16,prune,0.666229,0.996303
16,ps,0.677483,0.9962693333333332
16,Leiden,0.6262293333333334,0.9517320000000001
32,raw,0.6769563333333334,0.9963096666666665
32,samp,0.684036,0.9963363333333334
32,prune,0.664246,0.9962946666666667
32,ps,0.6803113333333334,0.9962873333333334
32,Leiden,0.6353399999999999,0.9518856666666666
64,raw,0.6769043333333333,0.996315
64,samp,0.6804866666666666,0.9963236666666667
64,prune,0.6669406666666666,0.996295
64,ps,0.6862266666666667,0.9962743333333334
64,Leiden,0.6329143333333334,0.9516923333333333
